FID_1,site_code_,site_name,valid_date,level,danger_lev,FID_2,GridID,Subbasin
15,022-mgd4ptn,Birpur,2017/09/26 15:00:00.000,74.55000000000,0.00000000000,0,30,Kosi
26,024-MGD4PTN,Baltara,2017/09/27 06:00:00.000,33.43000000000,33.85000000000,0,30,Kosi
27,023-mgd4ptn,Basua,2017/09/27 06:00:00.000,46.35000000000,47.75000000000,0,30,Kosi
33,025-mgd4ptn,Kursela,2017/09/27 06:00:00.000,27.62000000000,30.00000000000,0,30,Kosi
64,029-mgd5ptn,Azamabad,2017/09/26 21:00:00.000,27.30000000000,0.00000000000,0,30,Kosi
5,015-mgd4ptn,Dheng Bridge,2017/09/27 06:00:00.000,69.68000000000,0.00000000000,1,40,Bagmati
65,007-mgd4ptn,Khagaria,2017/09/27 06:00:00.000,33.47000000000,36.58000000000,1,40,Bagmati
2,014-mgd4ptn,Ekmighat,2017/09/27 06:00:00.000,45.34000000000,46.94000000000,2,41,Kamla-Balan
16,018-mgd4ptn,Hayaghat,2017/09/27 06:00:00.000,44.42000000000,45.72000000000,2,41,Kamla-Balan
43,020-mgd4ptn,Jainagar,2017/09/27 06:00:00.000,67.39000000000,0.00000000000,2,41,Kamla-Balan
62,017-mgd4ptn,Benibad,2017/09/27 06:00:00.000,47.66000000000,48.68000000000,2,41,Kamla-Balan
0,001-MBDGHY,Guwahati,2017/09/27 06:00:00.000,47.79000000000,49.68000000000,0,0,
1,011-mgd2lkn,Ankinghat,2017/09/27 04:00:00.000,120.75000000000,124.00000000000,0,0,
3,003-UYDDEL,Tuini,2017/09/27 06:00:00.000,925.67000000000,0.00000000000,0,0,
4,030-LBDJPG,Ghugumari,2017/09/27 06:00:00.000,38.90000000000,40.41000000000,0,0,
6,011-MGD5PTN,Hajipur,2017/09/26 21:00:00.000,46.14000000000,50.32000000000,0,0,
7,008-MGD4PTN,Triveni,2017/09/27 06:00:00.000,105.76000000000,0.00000000000,0,0,
8,003-MBDGHY,Matunga,2017/09/27 06:00:00.000,163.83000000000,0.00000000000,0,0,
9,010-UBDDIB,DIBRUGARH,2017/09/27 06:00:00.000,104.03000000000,105.70000000000,0,0,
10,012-MGD1LKN,Turtipar,2017/09/27 06:00:00.000,63.11000000000,64.01000000000,0,0,
11,010-MGD1LKn,Elginbridge,2017/09/27 06:00:00.000,105.46000000000,106.07000000000,0,0,
12,001-MGD5PTN,Buxar,2017/09/26 21:00:00.000,52.18000000000,60.32000000000,0,0,
13,003-MGD5PTN,Patna Gandhighat,2017/09/26 21:00:00.000,45.28000000000,48.60000000000,0,0,
14,001-UBDDIB,Kibithu,2017/09/27 06:00:00.000,1228.07000000000,0.00000000000,0,0,
17,002-MGD3VNS,Phaphamau,2017/09/27 06:00:00.000,77.33000000000,84.73400000000,0,0,
18,007-HGDDDN,Srinagar,2017/09/27 06:00:00.000,532.90000000000,536.00000000000,0,0,
19,007-CDJAIPUR,Gandhisagar Dam,2017/09/26 20:00:00.000,396.93000000000,0.00000000000,0,0,
20,002-LBDJPG,Beki Road bridge,2017/09/27 06:00:00.000,44.28000000000,45.10000000000,0,0,
21,005-MGD5PTN,Munger,2017/09/26 21:00:00.000,34.72000000000,39.33000000000,0,0,
22,006-mgd5ptn,Bhagalpur,2017/09/26 21:00:00.000,29.67000000000,33.68000000000,0,0,
23,009-MGD4PTN,Khadda,2017/09/27 06:00:00.000,94.19000000000,96.00000000000,0,0,
24,028-mgd4ptn,Taibpur,2017/09/27 06:00:00.000,64.33000000000,0.00000000000,0,0,
25,004-MGD5PTN,Hathidah,2017/09/26 21:00:00.000,37.79000000000,41.76000000000,0,0,
28,005-UBDDIB,PASSIGHAT,2017/09/27 06:00:00.000,151.37000000000,153.96000000000,0,0,
29,002-ubddib,TUTING,2017/09/26 09:00:00.000,409.04000000000,0.00000000000,0,0,
30,007-MGD1LKN,Shardanagar,2017/09/27 06:00:00.000,134.35000000000,0.00000000000,0,0,
31,002-MBDGHY,Goalpara,2017/09/27 06:00:00.000,34.51000000000,36.27000000000,0,0,
32,006-MGD1LKN,Paliakalan,2017/09/27 06:00:00.000,153.95000000000,0.00000000000,0,0,
34,007-UYDDEL,Jateon Barrage,2017/09/27 06:00:00.000,615.30000000000,0.00000000000,0,0,
35,003-MGD1LKN,Kakardhari,2017/09/27 06:00:00.000,128.18000000000,0.00000000000,0,0,
36,007-LBDJPG,SANKOSH LRP,2017/09/27 06:00:00.000,45.62000000000,0.00000000000,0,0,
37,005-MGD1LkN,Banbasa,2017/09/27 06:00:00.000,218.30000000000,223.30000000000,0,0,
38,014-MGD1LKN,Chandradeepghat,2017/09/27 06:00:00.000,86.40000000000,0.00000000000,0,0,
39,004-UYDDEL,Tuini,2017/09/27 06:00:00.000,887.96000000000,0.00000000000,0,0,
40,022-MGD1LKN,Regauli,2017/09/27 06:00:00.000,78.74000000000,0.00000000000,0,0,
41,027-mgd4ptn,Chargharia,2017/09/27 06:00:00.000,45.05000000000,0.00000000000,0,0,
42,029-mgd4ptn,Araria,2017/09/27 06:00:00.000,45.79000000000,0.00000000000,0,0,
44,031-mgd4ptn,Jhawa,2017/09/27 06:00:00.000,29.27000000000,31.40000000000,0,0,
45,011-mgd4ptn,Dumariaghat,2017/09/27 06:00:00.000,61.39000000000,62.22000000000,0,0,
46,001-LBDJPG,Mathanguri,2017/09/27 06:00:00.000,93.51000000000,0.00000000000,0,0,
47,016-LBDJPG,SEVOKE,2017/09/27 06:00:00.000,141.85000000000,0.00000000000,0,0,
48,021-LBDJPG,Gazoldoba,2017/09/27 06:00:00.000,109.20000000000,0.00000000000,0,0,
49,007-MGD5PTN,KAHALGAON,2017/09/26 21:00:00.000,28.23000000000,31.09000000000,0,0,
50,034-UBDDIB,DHARAMTUL,2017/09/27 06:00:00.000,53.93000000000,56.00000000000,0,0,
51,012-MGD5PTN,Darauli,2017/09/26 21:00:00.000,59.44000000000,60.82000000000,0,0,
52,026-UBDDIB,GOLAGHAT,2017/09/27 06:00:00.000,87.41000000000,89.50000000000,0,0,
53,030-UBDDIB,N.T. ROAD CROSSING,2017/09/27 06:00:00.000,76.63000000000,77.00000000000,0,0,
54,031-UBDDIB,TEZPUR,2017/09/27 06:00:00.000,63.92000000000,65.23000000000,0,0,
55,025-UBDDIB,GELABIL,2017/09/27 06:00:00.000,93.59000000000,0.00000000000,0,0,
56,024-MGD1LKN,Bhinga,2017/09/27 06:00:00.000,117.48000000000,0.00000000000,0,0,
57,008-MGD5PTN,Sahibganj,2017/09/26 21:00:00.000,24.93000000000,27.25000000000,0,0,
58,028-MGD5PTN,Farakka,2017/09/26 18:00:00.000,19.55000000000,22.25000000000,0,0,
59,010MGD5PTN,lalganj,2017/09/26 21:00:00.000,48.17000000000,0.00000000000,0,0,
60,010-mgd4ptn,Chatia,2017/09/27 06:00:00.000,66.44000000000,69.15000000000,0,0,
61,014-MGD5PTN,Chapra,2017/09/26 21:00:00.000,47.63000000000,53.68000000000,0,0,
63,027-MGD5PTN,Maner,2017/09/26 21:00:00.000,45.82000000000,52.00000000000,0,0,
66,030-mgd4ptn,DHENGRAGHAT,2017/09/27 06:00:00.000,34.38000000000,35.65000000000,0,0,
67,021-UYDDEL,Dadri,2017/09/27 06:00:00.000,210.83000000000,0.00000000000,0,0,
68,013-MGD5PTN,Gangpur siswan,2017/09/26 21:00:00.000,55.45000000000,57.04000000000,0,0,
69,009-MGD1LKN,B.K.Ghat,2017/09/27 06:00:00.000,134.64000000000,0.00000000000,0,0,
70,014-mgd2lkn,Lucknow,2017/09/27 04:00:00.000,103.40000000000,109.50000000000,0,0,
71,013-mgd2lkn,Dalmau,2017/09/27 04:00:00.000,95.63000000000,99.36000000000,0,0,
72,008-HGDDDN,Uttarkashi,2017/09/27 06:00:00.000,1119.08000000000,0.00000000000,0,0,
73,009-MGD5PTN,Rewaghat,2017/09/26 21:00:00.000,52.03000000000,54.41000000000,0,0,
74,004-mgd3vns,Sitamarhi,2017/09/27 06:00:00.000,69.46000000000,0.00000000000,0,0,
75,024-mgd5pat,Daltenganj,2017/09/26 21:00:00.000,207.82000000000,0.00000000000,0,0,
76,014-HGDDDN,Rishikesh,2017/09/27 06:00:00.000,338.01000000000,340.50000000000,0,0,
77,015-HGDDDN,Haridwar,2017/09/27 06:00:00.000,291.45000000000,294.00000000000,0,0,
78,002-MGD5PTN,Dighaghat (Seasonal),2017/09/26 21:00:00.000,46.07000000000,50.45000000000,0,0,
79,019-UBDDIB,NEAMATIGHAT,2017/09/27 06:00:00.000,84.53000000000,85.04000000000,0,0,
80,022-UBDDIB,BADATIGHAT,2017/09/27 06:00:00.000,80.35000000000,82.53000000000,0,0,
